Five-Year Ofsted Inspection Data: Initial teacher education,,,,,,,,,,,,,,,
This worksheet contains one table. Each row in the table shows information about an initial teacher education provider at a given time. Blank cells indicate that the provider had not been inspected at the time of reporting.,,,,,,,,,,,,,,,
URN,Name,Five-Year Ofsted Inspection Data publish date,Publication type,Remit,As at date,Published date,Government office region,Local authority area,Constituency,Postcode,Provider type,Phase,Overall effectiveness,The quality of education and training,Leadership and management
70032,Liverpool John Moores University,03/12/2024,OS,Initial teacher education,31/08/2024,25/07/2023,North West,Liverpool,Not available,L1 9DE,HEI,Secondary,2,2,2
70035,King's College London,03/12/2024,OS,Initial teacher education,31/08/2024,19/03/2024,London,Lambeth,Not available,SE1 9NH,HEI,Secondary,1,1,1
70036,Kingston University,03/12/2024,OS,Initial teacher education,31/08/2024,05/04/2024,London,Kingston upon Thames,Not available,KT1 1EU,HEI,Early years,2,2,2
70036,Kingston University,03/12/2024,OS,Initial teacher education,31/08/2024,05/04/2024,London,Kingston upon Thames,Not available,KT1 1EU,HEI,Primary,2,2,2
70036,Kingston University,03/12/2024,OS,Initial teacher education,31/08/2024,05/04/2024,London,Kingston upon Thames,Not available,KT1 1EU,HEI,Secondary,2,2,2
70037,Teaching London: LDBS SCITT,03/12/2024,OS,Initial teacher education,31/08/2024,22/03/2023,London,Camden,Not available,NW6 4NT,SCITT,Primary,1,1,1
70038,Leeds Beckett University,03/12/2024,OS,Initial teacher education,31/08/2024,22/05/2024,Yorkshire and The Humber,Leeds,Not available,LS6 3QQ,HEI,Primary,2,2,2
70038,Leeds Beckett University,03/12/2024,OS,Initial teacher education,31/08/2024,22/05/2024,Yorkshire and The Humber,Leeds,Not available,LS6 3QQ,HEI,Secondary,2,2,2
70040,University of Leicester,03/12/2024,OS,Initial teacher education,31/08/2024,02/04/2024,East Midlands,Leicester,Not available,LE1 7RF,HEI,Primary and Secondary,1,1,1
70042,Loughborough University,03/12/2024,OS,Initial teacher education,31/08/2024,29/07/2024,East Midlands,Leicestershire,Not available,LE11 3TU,HEI,Secondary,1,1,1
70045,University of Gloucestershire,03/12/2024,OS,Initial teacher education,31/08/2024,01/08/2022,South West,Gloucestershire,Not available,GL50 4AZ,HEI,Primary,2,2,2
70045,University of Gloucestershire,03/12/2024,OS,Initial teacher education,31/08/2024,01/08/2022,South West,Gloucestershire,Not available,GL50 4AZ,HEI,Secondary,2,2,2
70046,University of Manchester,03/12/2024,OS,Initial teacher education,31/08/2024,04/07/2024,North West,Manchester,Not available,M15 6JA,HEI,Primary,1,1,1
70046,University of Manchester,03/12/2024,OS,Initial teacher education,31/08/2024,04/07/2024,North West,Manchester,Not available,M15 6JA,HEI,Secondary,1,1,1
70048,Middlesex University,03/12/2024,OS,Initial teacher education,31/08/2024,14/05/2024,London,Barnet,Not available,NW4 4BT,HEI,Primary,2,2,2
70048,Middlesex University,03/12/2024,OS,Initial teacher education,31/08/2024,14/05/2024,London,Barnet,Not available,NW4 4BT,HEI,Secondary,1,1,1
70049,Manchester Metropolitan University,03/12/2024,OS,Initial teacher education,31/08/2024,08/05/2024,North West,Manchester,Not available,M15 6GX,HEI,Primary,2,2,2
70049,Manchester Metropolitan University,03/12/2024,OS,Initial teacher education,31/08/2024,08/05/2024,North West,Manchester,Not available,M15 6GX,HEI,Secondary,2,2,2
70050,University of Northampton,03/12/2024,OS,Initial teacher education,31/08/2024,18/07/2022,East Midlands,West Northamptonshire,Not available,NN1 5PH,HEI,Primary,2,2,2
70051,Sheffield Hallam University,03/12/2024,OS,Initial teacher education,31/08/2024,14/05/2024,Yorkshire and The Humber,Sheffield,Not available,S1 1WB,HEI,Early years,1,1,1
70051,Sheffield Hallam University,03/12/2024,OS,Initial teacher education,31/08/2024,14/05/2024,Yorkshire and The Humber,Sheffield,Not available,S1 1WB,HEI,FE,1,1,1
70051,Sheffield Hallam University,03/12/2024,OS,Initial teacher education,31/08/2024,14/05/2024,Yorkshire and The Humber,Sheffield,Not available,S1 1WB,HEI,Primary,1,1,1
70051,Sheffield Hallam University,03/12/2024,OS,Initial teacher education,31/08/2024,14/05/2024,Yorkshire and The Humber,Sheffield,Not available,S1 1WB,HEI,Secondary,1,1,1
70052,London Metropolitan University,03/12/2024,OS,Initial teacher education,31/08/2024,13/05/2024,London,Islington,Not available,N7 8DB,HEI,Primary,2,2,2
70052,London Metropolitan University,03/12/2024,OS,Initial teacher education,31/08/2024,13/05/2024,London,Islington,Not available,N7 8DB,HEI,Secondary,2,2,2
70053,University of Nottingham,03/12/2024,OS,Initial teacher education,31/08/2024,29/04/2022,East Midlands,Nottingham,Not available,NG8 1BB,HEI,Primary,1,1,1
70053,University of Nottingham,03/12/2024,OS,Initial teacher education,31/08/2024,29/04/2022,East Midlands,Nottingham,Not available,NG8 1BB,HEI,Secondary,1,1,1
70054,Northampton Teacher Training Partnership,03/12/2024,OS,Initial teacher education,31/08/2024,09/07/2024,East Midlands,West Northamptonshire,Not available,NN1 5RT,SCITT,Secondary,1,1,1
70055,Kent and Medway Training,03/12/2024,OS,Initial teacher education,31/08/2024,23/06/2022,South East,Medway,Not available,ME2 2SX,SCITT,Primary,2,2,2
70055,Kent and Medway Training,03/12/2024,OS,Initial teacher education,31/08/2024,23/06/2022,South East,Medway,Not available,ME2 2SX,SCITT,Secondary,2,2,2
70057,University of Oxford,03/12/2024,OS,Initial teacher education,31/08/2024,16/05/2024,South East,Oxfordshire,Not available,OX2 6PY,HEI,Secondary,1,1,1
70058,Poole SCITT,03/12/2024,OS,Initial teacher education,31/08/2024,30/06/2022,South West,"Bournemouth, Christchurch & Poole",Not available,BH17 8AP,SCITT,Primary,2,2,2
70059,University of Plymouth,03/12/2024,OS,Initial teacher education,31/08/2024,25/04/2024,South West,Plymouth,Not available,PL4 8AA,HEI,FE,2,2,2
70059,University of Plymouth,03/12/2024,OS,Initial teacher education,31/08/2024,25/04/2024,South West,Plymouth,Not available,PL4 8AA,HEI,Primary,2,2,2
70059,University of Plymouth,03/12/2024,OS,Initial teacher education,31/08/2024,27/06/2014,South West,Plymouth,Not available,PL4 8AA,HEI,Secondary,2,2,2
70060,University of Portsmouth,03/12/2024,OS,Initial teacher education,31/08/2024,27/03/2024,South East,Portsmouth,Not available,PO1 2HY,HEI,FE,2,2,2
70060,University of Portsmouth,03/12/2024,OS,Initial teacher education,31/08/2024,27/03/2024,South East,Portsmouth,Not available,PO1 2HY,HEI,Primary,2,2,2
70060,University of Portsmouth,03/12/2024,OS,Initial teacher education,31/08/2024,27/03/2024,South East,Portsmouth,Not available,PO1 2HY,HEI,Secondary,1,1,1
70061,Portsmouth Primary SCITT,03/12/2024,OS,Initial teacher education,31/08/2024,27/03/2024,South East,Portsmouth,Not available,PO2 8QH,SCITT,Primary,1,1,1
70062,University of Reading,03/12/2024,OS,Initial teacher education,31/08/2024,21/06/2024,South East,Reading,Not available,RG1 5EX,HEI,Early years,2,2,2
70062,University of Reading,03/12/2024,OS,Initial teacher education,31/08/2024,21/06/2024,South East,Reading,Not available,RG1 5EX,HEI,Primary,1,1,1
70062,University of Reading,03/12/2024,OS,Initial teacher education,31/08/2024,21/06/2024,South East,Reading,Not available,RG1 5EX,HEI,Secondary,1,1,1
70063,University of Roehampton,03/12/2024,OS,Initial teacher education,31/08/2024,27/04/2023,London,Wandsworth,Not available,SW15 5PJ,HEI,Primary,1,1,1
70063,University of Roehampton,03/12/2024,OS,Initial teacher education,31/08/2024,27/04/2023,London,Wandsworth,Not available,SW15 5PJ,HEI,Secondary,2,2,2
70064,London South Bank University,03/12/2024,OS,Initial teacher education,31/08/2024,,London,Southwark,Not available,SE1 0AA,HEI,FE,,,
70064,London South Bank University,03/12/2024,OS,Initial teacher education,31/08/2024,29/06/2022,London,Southwark,Not available,SE1 0AA,HEI,Primary,2,2,2
70066,Somerset SCITT Consortium,03/12/2024,OS,Initial teacher education,31/08/2024,02/05/2023,South West,Somerset,Not available,TA1 2PX,SCITT,Primary,2,2,2
70067,University of Southampton,03/12/2024,OS,Initial teacher education,31/08/2024,26/06/2023,South East,Southampton,Not available,SO17 1BJ,HEI,Primary and Secondary,1,1,1
70068,Staffordshire University,03/12/2024,OS,Initial teacher education,31/08/2024,10/06/2024,West Midlands,Stoke-on-Trent,Not available,ST4 2DE,HEI,FE,2,2,2
70068,Staffordshire University,03/12/2024,OS,Initial teacher education,31/08/2024,10/06/2024,West Midlands,Stoke-on-Trent,Not available,ST4 2DE,HEI,Primary,2,2,2
70068,Staffordshire University,03/12/2024,OS,Initial teacher education,31/08/2024,10/06/2024,West Midlands,Stoke-on-Trent,Not available,ST4 2DE,HEI,Secondary,2,2,2
70069,Suffolk and Norfolk Primary SCITT,03/12/2024,OS,Initial teacher education,31/08/2024,28/06/2013,East of England,Suffolk,Not available,IP4 1JN,SCITT,Primary,1,1,1
70070,University of Sunderland,03/12/2024,OS,Initial teacher education,31/08/2024,11/07/2016,North East,Sunderland,Not available,SR6 0DD,HEI,Early years,3,3,3
70070,University of Sunderland,03/12/2024,OS,Initial teacher education,31/08/2024,06/07/2023,North East,Sunderland,Not available,SR6 0DD,HEI,FE,2,2,2
70070,University of Sunderland,03/12/2024,OS,Initial teacher education,31/08/2024,06/07/2023,North East,Sunderland,Not available,SR6 0DD,HEI,Primary,2,2,2
70070,University of Sunderland,03/12/2024,OS,Initial teacher education,31/08/2024,06/07/2023,North East,Sunderland,Not available,SR6 0DD,HEI,Secondary,2,2,2
70071,University of Sussex,03/12/2024,OS,Initial teacher education,31/08/2024,13/03/2023,South East,Brighton and Hove,Not available,BN1 9QQ,HEI,Early years,1,1,1
70071,University of Sussex,03/12/2024,OS,Initial teacher education,31/08/2024,13/03/2023,South East,Brighton and Hove,Not available,BN1 9QQ,HEI,Primary,2,2,2
70071,University of Sussex,03/12/2024,OS,Initial teacher education,31/08/2024,13/03/2023,South East,Brighton and Hove,Not available,BN1 9QQ,HEI,Secondary,2,2,1
70072,Ted Wragg Teacher Training Partnership,03/12/2024,OS,Initial teacher education,31/08/2024,14/07/2021,South West,Devon,Not available,EX2 9JU,SCITT,Primary and Secondary,2,2,2
70073,Essex and Thames SCITT,03/12/2024,OS,Initial teacher education,31/08/2024,15/03/2024,East of England,Essex,Not available,CM8 1NA,SCITT,Primary,1,1,1
70074,Titan Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2024,21/07/2023,West Midlands,Birmingham,Not available,B15 3DH,SCITT,Primary and Secondary,2,2,1
70075,Birmingham City University,03/12/2024,OS,Initial teacher education,31/08/2024,10/07/2023,West Midlands,Birmingham,Not available,B15 3TN,HEI,Primary,2,2,2
70075,Birmingham City University,03/12/2024,OS,Initial teacher education,31/08/2024,10/07/2023,West Midlands,Birmingham,Not available,B15 3TN,HEI,Secondary,2,2,2
70076,University of East Anglia,03/12/2024,OS,Initial teacher education,31/08/2024,21/09/2022,East of England,Norfolk,Not available,NR4 7TJ,HEI,Primary,2,2,2
70076,University of East Anglia,03/12/2024,OS,Initial teacher education,31/08/2024,21/09/2022,East of England,Norfolk,Not available,NR4 7TJ,HEI,Secondary,2,2,2
70077,University of East London,03/12/2024,OS,Initial teacher education,31/08/2024,14/06/2024,London,Newham,Not available,E15 4LZ,HEI,FE,1,1,1
70077,University of East London,03/12/2024,OS,Initial teacher education,31/08/2024,14/06/2024,London,Newham,Not available,E15 4LZ,HEI,Primary,1,1,1
70077,University of East London,03/12/2024,OS,Initial teacher education,31/08/2024,14/06/2024,London,Newham,Not available,E15 4LZ,HEI,Secondary,2,2,2
70079,University of the West of England,03/12/2024,OS,Initial teacher education,31/08/2024,09/05/2022,South West,South Gloucestershire,Not available,BS16 1QY,HEI,Early years,2,2,2
70079,University of the West of England,03/12/2024,OS,Initial teacher education,31/08/2024,09/05/2022,South West,South Gloucestershire,Not available,BS16 1QY,HEI,Primary,2,2,2
70079,University of the West of England,03/12/2024,OS,Initial teacher education,31/08/2024,09/05/2022,South West,South Gloucestershire,Not available,BS16 1QY,HEI,Secondary,2,2,2
70080,Wandsworth Primary Schools' Consortium,03/12/2024,OS,Initial teacher education,31/08/2024,23/06/2023,London,Wandsworth,Not available,SW8 4EN,SCITT,Primary,1,1,1
70081,University of Warwick,03/12/2024,OS,Initial teacher education,31/08/2024,24/07/2024,West Midlands,Coventry,Not available,CV4 8EE,HEI,Primary,1,1,1
70081,University of Warwick,03/12/2024,OS,Initial teacher education,31/08/2024,24/07/2024,West Midlands,Coventry,Not available,CV4 8EE,HEI,Secondary,1,1,1
70083,West Midlands Consortium,03/12/2024,OS,Initial teacher education,31/08/2024,18/07/2023,West Midlands,Telford and Wrekin,Not available,TF3 4NW,SCITT,Primary and Secondary,2,2,2
70084,University of Wolverhampton,03/12/2024,OS,Initial teacher education,31/08/2024,21/09/2022,West Midlands,Walsall,Not available,WS1 3BD,HEI,Early years,2,2,2
70084,University of Wolverhampton,03/12/2024,OS,Initial teacher education,31/08/2024,14/07/2021,West Midlands,Walsall,Not available,WS1 3BD,HEI,FE,2,2,2
70084,University of Wolverhampton,03/12/2024,OS,Initial teacher education,31/08/2024,14/07/2021,West Midlands,Walsall,Not available,WS1 3BD,HEI,Primary,2,2,2
70084,University of Wolverhampton,03/12/2024,OS,Initial teacher education,31/08/2024,14/07/2021,West Midlands,Walsall,Not available,WS1 3BD,HEI,Secondary,2,2,2
70085,University of Worcester,03/12/2024,OS,Initial teacher education,31/08/2024,23/05/2023,West Midlands,Worcestershire,Not available,WR2 6AJ,HEI,FE,2,2,2
70085,University of Worcester,03/12/2024,OS,Initial teacher education,31/08/2024,23/05/2023,West Midlands,Worcestershire,Not available,WR2 6AJ,HEI,Primary,1,1,1
70085,University of Worcester,03/12/2024,OS,Initial teacher education,31/08/2024,23/05/2023,West Midlands,Worcestershire,Not available,WR2 6AJ,HEI,Secondary,1,1,1
70086,Mid Essex Initial Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2024,15/03/2024,East of England,Essex,Not available,CM7 1WY,SCITT,Secondary,1,1,1
70087,University of York,03/12/2024,OS,Initial teacher education,31/08/2024,,Yorkshire and The Humber,York,Not available,YO10 5DD,HEI,Primary,,,
70087,University of York,03/12/2024,OS,Initial teacher education,31/08/2024,18/04/2024,Yorkshire and The Humber,York,Not available,YO10 5DD,HEI,Secondary,2,2,1
70089,Primary Catholic Partnership SCITT,03/12/2024,OS,Initial teacher education,31/08/2024,15/03/2024,South East,Southampton,Not available,SO16 9LP,SCITT,Primary,1,1,1
70090,London School of Jewish Studies (LSJS),03/12/2024,OS,Initial teacher education,31/08/2024,26/05/2023,London,Barnet,Not available,NW4 2SJ,SCITT,Primary and Secondary,2,2,2
70092,Essex Primary SCITT,03/12/2024,OS,Initial teacher education,31/08/2024,12/07/2018,East of England,Essex,Not available,CM1 4UU,SCITT,Early years,2,2,2
70092,Essex Primary SCITT,03/12/2024,OS,Initial teacher education,31/08/2024,13/12/2017,East of England,Essex,Not available,CM1 4UU,SCITT,Primary,1,1,1
70094,BEC Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2024,21/09/2022,East of England,Essex,Not available,SS12 0LZ,SCITT,Primary and Secondary,2,2,2
70106,Teesside University ITT,03/12/2024,OS,Initial teacher education,31/08/2024,,North East,Middlesbrough,Not available,TS1 3BX,HEI,Early years,,,
70106,Teesside University ITT,03/12/2024,OS,Initial teacher education,31/08/2024,08/04/2024,North East,Middlesbrough,Not available,TS1 3BX,HEI,FE,2,2,2
70106,Teesside University ITT,03/12/2024,OS,Initial teacher education,31/08/2024,08/04/2024,North East,Middlesbrough,Not available,TS1 3BX,HEI,Primary and Secondary,2,2,2
70118,York St John University,03/12/2024,OS,Initial teacher education,31/08/2024,24/05/2022,Yorkshire and The Humber,York,Not available,YO31 7EL,HEI,Primary,2,2,1
70118,York St John University,03/12/2024,OS,Initial teacher education,31/08/2024,24/05/2022,Yorkshire and The Humber,York,Not available,YO31 7EL,HEI,Secondary,2,2,2
70119,University College London (UCL),03/12/2024,OS,Initial teacher education,31/08/2024,10/05/2024,London,Camden,Not available,WC1H 0AL,HEI,Early years,1,1,1
70119,University College London (UCL),03/12/2024,OS,Initial teacher education,31/08/2024,10/05/2024,London,Camden,Not available,WC1H 0AL,HEI,FE,1,1,1
70119,University College London (UCL),03/12/2024,OS,Initial teacher education,31/08/2024,10/05/2024,London,Camden,Not available,WC1H 0AL,HEI,Primary,1,1,1
70119,University College London (UCL),03/12/2024,OS,Initial teacher education,31/08/2024,10/05/2024,London,Camden,Not available,WC1H 0AL,HEI,Secondary,1,1,1
70120,St Mary's University,03/12/2024,OS,Initial teacher education,31/08/2024,02/07/2024,London,Richmond upon Thames,Not available,TW1 4SX,HEI,Primary,1,1,1
70120,St Mary's University,03/12/2024,OS,Initial teacher education,31/08/2024,02/07/2024,London,Richmond upon Thames,Not available,TW1 4SX,HEI,Secondary,1,1,1
70121,University of Winchester,03/12/2024,OS,Initial teacher education,31/08/2024,13/05/2024,South East,Hampshire,Not available,SO22 4NR,HEI,Primary,1,1,1
70121,University of Winchester,03/12/2024,OS,Initial teacher education,31/08/2024,13/05/2024,South East,Hampshire,Not available,SO22 4NR,HEI,Secondary,1,1,1
70122,"Goldsmiths, University of London",03/12/2024,OS,Initial teacher education,31/08/2024,24/05/2022,London,Lewisham,Not available,SE14 6NW,HEI,Primary,2,2,2
70122,"Goldsmiths, University of London",03/12/2024,OS,Initial teacher education,31/08/2024,24/05/2022,London,Lewisham,Not available,SE14 6NW,HEI,Secondary,2,2,2
70123,University of Sheffield,03/12/2024,OS,Initial teacher education,31/08/2024,21/05/2024,Yorkshire and The Humber,Sheffield,Not available,S10 2AH,HEI,Secondary,1,1,1
70124,Nottingham Trent University,03/12/2024,OS,Initial teacher education,31/08/2024,12/06/2023,East Midlands,Nottingham,Not available,NG11 8NS,HEI,Early years,2,2,2
70124,Nottingham Trent University,03/12/2024,OS,Initial teacher education,31/08/2024,17/05/2024,East Midlands,Nottingham,Not available,NG11 8NS,HEI,FE,2,2,2
70124,Nottingham Trent University,03/12/2024,OS,Initial teacher education,31/08/2024,12/06/2023,East Midlands,Nottingham,Not available,NG11 8NS,HEI,Primary,2,2,2
70124,Nottingham Trent University,03/12/2024,OS,Initial teacher education,31/08/2024,12/06/2023,East Midlands,Nottingham,Not available,NG11 8NS,HEI,Secondary,2,2,2
70125,Northumbria University,03/12/2024,OS,Initial teacher education,31/08/2024,23/07/2024,North East,Newcastle upon Tyne,Not available,NE7 7XA,HEI,Primary and Secondary,2,2,2
70126,Newcastle University,03/12/2024,OS,Initial teacher education,31/08/2024,24/06/2024,North East,Newcastle upon Tyne,Not available,NE1 7RU,HEI,Primary and Secondary,2,2,2
70127,Leeds Trinity University,03/12/2024,OS,Initial teacher education,31/08/2024,19/07/2023,Yorkshire and The Humber,Leeds,Not available,LS18 5HD,HEI,Primary,2,2,2
