Five-Year Ofsted Inspection Data: Non-association independent schools,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Each row in the table shows information about an independent school at a given time. Blank cells indicate that the provider had not been inspected at the time of reporting.,,,,,,,,,,,,,,,,,,,,
URN,Name,Five-Year Ofsted Inspection Data publish date,Publication type,Remit,As at date,Published date,Government office region,Local authority area,Constituency,Postcode,Provider type,Overall effectiveness,Effectiveness of leadership and management,Quality of education,Personal development,Behaviour and attitudes,Safeguarding is effective?,Early years provision (where applicable),Sixth form provision (where applicable),Independent school standards met
103588,Red Boots School (National Institute of Conductive Education),03/12/2024,OS,Non-association independent schools,31/08/2024,02/08/2023,West Midlands,Birmingham,Birmingham Hall Green and Moseley,B13 8RD,Other Independent Special School,1,1,1,1,1,Yes,1,,All standards Met
103876,Elmfield Rudolf Steiner School Limited,03/12/2024,OS,Non-association independent schools,31/08/2024,02/07/2023,West Midlands,Dudley,Stourbridge,DY8 2EA,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
104128,Kingswood School,03/12/2024,OS,Non-association independent schools,31/08/2024,20/06/2022,West Midlands,Solihull,Solihull West and Shirley,B90 2BA,Other Independent School,1,1,1,1,1,Yes,1,,All standards Met
104839,Nugent House School,03/12/2024,OS,Non-association independent schools,31/08/2024,30/06/2022,North West,St Helens,St Helens North,WN5 7TT,Other Independent Special School,2,2,2,2,2,Yes,,2,All standards Met
105269,Lord's School,03/12/2024,OS,Non-association independent schools,31/08/2024,02/03/2020,North West,Bolton,Bolton South and Walkden,BL3 2EF,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
105372,Darul Uloom Al Arabiya Al Islamiya,03/12/2024,OS,Non-association independent schools,31/08/2024,27/03/2022,North West,Bury,Bury North,BL8 4NG,Other Independent School,2,3,2,2,2,Yes,,2,Did not meet all standards
105596,King of Kings,03/12/2024,OS,Non-association independent schools,31/08/2024,30/01/2024,North West,Salford,Salford,M6 5YD,Other Independent School,3,3,3,3,2,Yes,3,,Did not meet all standards
105748,Bright Futures School,03/12/2024,OS,Non-association independent schools,31/08/2024,29/06/2023,North West,Oldham,Oldham East and Saddleworth,OL3 7EU,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
105993,Talmud Torah Chinuch Norim School,03/12/2024,OS,Non-association independent schools,31/08/2024,17/01/2023,North West,Salford,Bury South,M7 2AU,Other Independent School,3,3,3,3,2,Yes,3,,Did not meet all standards
105996,Bnos Yisroel School Manchester,03/12/2024,OS,Non-association independent schools,31/08/2024,26/09/2024,North West,Salford,Bury South,M7 4DA,Other Independent School,3,3,2,2,1,Yes,2,,Did not meet all standards
105997,Prestwich Preparatory School,03/12/2024,OS,Non-association independent schools,31/08/2024,17/07/2023,North West,Bury,Bury South,M25 1PZ,Other Independent School,4,4,4,2,2,Yes,2,,Did not meet all standards
105999,Mechinoh School,03/12/2024,OS,Non-association independent schools,31/08/2024,25/07/2022,North West,Salford,Bury South,M7 4HY,Other Independent School,4,4,4,4,2,No,,,Did not meet all standards
106002,Tashbar of Manchester,03/12/2024,OS,Non-association independent schools,31/08/2024,04/06/2024,North West,Salford,Bury South,M7 4HL,Other Independent School,3,3,3,3,3,Yes,2,,Did not meet all standards
106003,Manchester Junior Girls' School,03/12/2024,OS,Non-association independent schools,31/08/2024,06/12/2023,North West,Salford,Bury South,M7 4JA,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
106154,Stella Maris School,03/12/2024,OS,Non-association independent schools,31/08/2024,20/01/2020,North West,Stockport,Stockport,SK4 3BR,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
106158,Covenant Christian School,03/12/2024,OS,Non-association independent schools,31/08/2024,12/03/2024,North West,Stockport,Stockport,SK4 4NX,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
106162,Ashcroft School,03/12/2024,OS,Non-association independent schools,31/08/2024,06/12/2023,North West,Stockport,Cheadle,SK8 1JE,Other Independent Special School,4,4,4,3,4,Yes,,2,Did not meet all standards
106816,Sycamore Hall Preparatory School,03/12/2024,OS,Non-association independent schools,31/08/2024,08/12/2022,Yorkshire and The Humber,Doncaster,Doncaster Central,DN4 8PT,Other Independent School,4,4,2,4,2,No,,,Did not meet all standards
106965,The Robert Ogden School,03/12/2024,OS,Non-association independent schools,31/08/2024,03/07/2022,Yorkshire and The Humber,Barnsley,Barnsley South,S63 0BG,Other Independent Special School,2,2,2,1,1,Yes,,2,All standards Met
107168,Bethany School,03/12/2024,OS,Non-association independent schools,31/08/2024,04/05/2023,Yorkshire and The Humber,Sheffield,Sheffield Central,S3 7PS,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
107794,Madni Academy,03/12/2024,OS,Non-association independent schools,31/08/2024,21/01/2024,Yorkshire and The Humber,Kirklees,Dewsbury and Batley,WF12 9AY,Other Independent School,2,1,2,1,1,Yes,1,,All standards Met
107795,The Branch Christian School,03/12/2024,OS,Non-association independent schools,31/08/2024,25/09/2023,Yorkshire and The Humber,Kirklees,Dewsbury and Batley,WF13 4LA,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
108109,Queenswood School,03/12/2024,OS,Non-association independent schools,31/08/2024,08/11/2023,Yorkshire and The Humber,Leeds,Leeds South West and Morley,LS27 9EB,Other Independent School,2,2,2,1,1,Yes,,,All standards Met
108110,Leeds Menorah School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/09/2024,Yorkshire and The Humber,Leeds,Leeds North East,LS17 6HQ,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
108307,Wakefield independent sch,03/12/2024,OS,Non-association independent schools,31/08/2024,31/01/2024,Yorkshire and The Humber,Wakefield,Normanton and Hemsworth,WF4 1QG,Other Independent School,2,2,2,1,1,Yes,2,,All standards Met
108414,Gateshead Jewish Boarding School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/01/2024,North East,Gateshead,Gateshead Central and Whickham,NE8 1HG,Other Independent School,3,3,2,2,2,Yes,,,Did not meet all standards
108416,Keser Torah Boys' School,03/12/2024,OS,Non-association independent schools,31/08/2024,23/11/2021,North East,Gateshead,Gateshead Central and Whickham,NE8 4EA,Other Independent School,3,2,2,3,2,Yes,,,All standards Met
108419,Gateshead Jewish Nursery School,03/12/2024,OS,Non-association independent schools,31/08/2024,14/07/2022,North East,Gateshead,Gateshead Central and Whickham,NE8 1RB,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
108877,Thornhill Park School,03/12/2024,OS,Non-association independent schools,31/08/2024,30/07/2023,North East,Sunderland,Sunderland Central,SR3 1SS,Other Independent Special School,2,2,2,2,1,Yes,,2,All standards Met
108886,Holme Court School,03/12/2024,OS,Non-association independent schools,31/08/2024,26/01/2023,East of England,Cambridgeshire,South Cambridgeshire,CB1 8DW,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
109345,Bristol Steiner School,03/12/2024,OS,Non-association independent schools,31/08/2024,15/08/2023,South West,Bristol,Bristol Central,BS6 6UX,Other Independent School,3,3,3,2,2,Yes,3,,All standards Met
109726,King's House Moorlands,03/12/2024,OS,Non-association independent schools,31/08/2024,11/05/2022,East of England,Luton,Luton North,LU4 9JY,Other Independent School,2,2,2,2,1,Yes,2,,All standards Met
110141,Newbold School,03/12/2024,OS,Non-association independent schools,31/08/2024,15/01/2024,South East,Bracknell Forest,Maidenhead,RG42 4AH,Other Independent School,1,1,1,1,1,Yes,1,,All standards Met
110178,Cressex Lodge School,03/12/2024,OS,Non-association independent schools,31/08/2024,04/10/2023,South East,Bracknell Forest,Maidenhead,RG42 4DE,Other Independent Special School,2,1,2,1,1,Yes,,,All standards Met
110564,Macintyre School,03/12/2024,OS,Non-association independent schools,31/08/2024,07/03/2024,South East,Buckinghamshire,Aylesbury,HP22 4PA,Other Independent Special School,2,2,2,1,2,Yes,,2,All standards Met
110920,Aurora Meldreth Manor School,03/12/2024,OS,Non-association independent schools,31/08/2024,13/01/2022,East of England,Cambridgeshire,South Cambridgeshire,SG8 6LG,Other Independent Special School,2,2,2,2,2,Yes,,2,All standards Met
112452,Oversands School,03/12/2024,OS,Non-association independent schools,31/08/2024,23/01/2023,North West,Westmorland and Furness,Westmorland and Lonsdale,LA11 6SD,Other Independent Special School,2,2,2,2,2,Yes,,2,All standards Met
112456,Cedar House School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/09/2022,Yorkshire and The Humber,North Yorkshire,Skipton and Ripon,LA2 7DD,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
112461,Underley Garden School,03/12/2024,OS,Non-association independent schools,31/08/2024,23/06/2022,North West,Westmorland and Furness,Morecambe and Lunesdale,LA6 2DZ,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
113019,Bladon House School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/09/2023,East Midlands,Derbyshire,South Derbyshire,DE15 0TA,Other Independent Special School,2,2,2,1,1,Yes,,2,All standards Met
113021,Alderwasley Hall School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/09/2022,East Midlands,Derbyshire,Derbyshire Dales,DE56 2SR,Other Independent Special School,1,1,1,1,1,Yes,,1,All standards Met
113026,Eastwood Grange School,03/12/2024,OS,Non-association independent schools,31/08/2024,10/09/2024,East Midlands,Derbyshire,North East Derbyshire,S45 0BA,Other Independent Special School,2,2,2,2,1,Yes,,,All standards Met
113567,St Wilfrid's School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/11/2021,South West,Devon,Exeter,EX4 4DA,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
113571,Vranch House School,03/12/2024,OS,Non-association independent schools,31/08/2024,14/12/2022,South West,Devon,Exeter,EX4 8AD,Other Independent Special School,1,1,1,1,1,Yes,1,,All standards Met
113594,Fletewood School at Derry Villas,03/12/2024,OS,Non-association independent schools,31/08/2024,28/04/2024,South West,Plymouth,Plymouth Sutton and Devonport,PL4 6AN,Other Independent School,2,2,2,1,2,Yes,2,,All standards Met
113616,Quay View School,03/12/2024,OS,Non-association independent schools,31/08/2024,06/05/2024,South West,Devon,Torridge and Tavistock,PL20 7EX,Other Independent Special School,2,2,2,1,2,Yes,,2,All standards Met
113623,Magdalen Court School,03/12/2024,OS,Non-association independent schools,31/08/2024,19/01/2023,South West,Devon,Exeter,EX2 4NU,Other Independent Special School,3,3,3,3,3,Yes,,,All standards Met
113943,Ringwood Waldorf School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/06/2023,South West,Dorset,Christchurch,BH24 2NN,Other Independent School,3,3,3,2,3,Yes,2,2,All standards Met
113952,Sheiling School,03/12/2024,OS,Non-association independent schools,31/08/2024,19/01/2022,South West,Dorset,Christchurch,BH24 2EB,Other Independent Special School,2,2,2,1,1,Yes,,2,All standards Met
114625,Michael Hall School,03/12/2024,OS,Non-association independent schools,31/08/2024,05/12/2022,South East,East Sussex,East Grinstead and Uckfield,RH18 5JA,Other Independent School,3,3,3,2,2,Yes,2,2,Did not meet all standards
114646,Darvell School,03/12/2024,OS,Non-association independent schools,31/08/2024,15/12/2022,South East,East Sussex,Bexhill and Battle,TN32 5DR,Other Independent School,2,2,2,1,1,Yes,2,,All standards Met
114660,Owlswick School,03/12/2024,OS,Non-association independent schools,31/08/2024,12/11/2023,South East,East Sussex,Lewes,BN7 3NF,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
115425,Woodcroft School,03/12/2024,OS,Non-association independent schools,31/08/2024,23/05/2023,East of England,Essex,Epping Forest,IG10 1SQ,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
115426,Doucecroft School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/09/2022,East of England,Essex,Harwich and North Essex,CO6 3QL,Other Independent Special School,2,2,2,2,2,Yes,0,2,All standards Met
115802,Cotswold Chine School,03/12/2024,OS,Non-association independent schools,31/08/2024,16/02/2022,South West,Gloucestershire,North Cotswolds,GL6 9AG,Other Independent Special School,2,2,2,1,2,Yes,,2,All standards Met
115808,The Acorn School,03/12/2024,OS,Non-association independent schools,31/08/2024,12/07/2023,South West,Gloucestershire,Stroud,GL6 0BP,Other Independent School,1,1,1,1,1,Yes,,1,All standards Met
115809,Hartmore School,03/12/2024,OS,Non-association independent schools,31/08/2024,28/11/2022,South West,Gloucestershire,Forest of Dean,GL19 3BG,Other Independent Special School,2,2,2,2,2,Yes,,2,All standards Met
115810,Al-Ashraf Secondary School for Girls,03/12/2024,OS,Non-association independent schools,31/08/2024,09/06/2024,South West,Gloucestershire,Gloucester,GL1 4AW,Other Independent School,3,3,2,2,2,Yes,,,Did not meet all standards
116564,Southlands School,03/12/2024,OS,Non-association independent schools,31/08/2024,24/05/2022,South East,Hampshire,New Forest East,SO41 5QB,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
116565,Hill House School,03/12/2024,OS,Non-association independent schools,31/08/2024,07/05/2024,South East,Hampshire,New Forest East,SO41 8NE,Other Independent Special School,1,1,1,1,1,Yes,,1,All standards Met
116584,St Edward's School,03/12/2024,OS,Non-association independent schools,31/08/2024,23/01/2023,South East,Hampshire,Romsey and Southampton North,SO51 6ZR,Other Independent Special School,2,2,2,1,1,Yes,,,All standards Met
116586,Coxlease School,03/12/2024,OS,Non-association independent schools,31/08/2024,14/03/2022,South East,Hampshire,New Forest East,SO43 7DE,Other Independent Special School,2,2,2,1,1,Yes,,1,All standards Met
116588,Grateley House School,03/12/2024,OS,Non-association independent schools,31/08/2024,24/11/2022,South East,Hampshire,Romsey and Southampton North,SP11 8TA,Other Independent Special School,2,2,2,2,2,Yes,,2,All standards Met
116589,The Loddon School,03/12/2024,OS,Non-association independent schools,31/08/2024,14/12/2022,South East,Hampshire,North East Hampshire,RG27 0JD,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
116593,The Forum School,03/12/2024,OS,Non-association independent schools,31/08/2024,12/01/2023,South West,Dorset,North Dorset,DT11 0QS,Other Independent Special School,3,3,3,3,2,Yes,,3,All standards Met
116594,St Michael's School,03/12/2024,OS,Non-association independent schools,31/08/2024,15/11/2023,South East,Hampshire,North West Hampshire,RG20 9JW,Other Independent School,2,2,2,2,1,Yes,,,All standards Met
117030,Cambian New Elizabethan School,03/12/2024,OS,Non-association independent schools,31/08/2024,28/02/2024,West Midlands,Worcestershire,Droitwich and Evesham,DY11 7TE,Other Independent Special School,3,3,3,3,3,Yes,,,Did not meet all standards
117033,Sunfield Children's Home Ltd,03/12/2024,OS,Non-association independent schools,31/08/2024,17/06/2024,West Midlands,Worcestershire,Bromsgrove,DY9 9PB,Other Independent Special School,2,1,2,1,1,Yes,,2,All standards Met
117042,Rowden House School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/09/2022,West Midlands,Herefordshire,North Herefordshire,HR7 4LS,Other Independent Special School,2,2,2,1,1,Yes,,2,All standards Met
117044,Madinatul Uloom Al Islamiya School,03/12/2024,OS,Non-association independent schools,31/08/2024,24/04/2024,West Midlands,Worcestershire,Wyre Forest,DY10 4BS,Other Independent School,3,2,3,2,2,Yes,,0,All standards Met
117048,Cambian Hereford School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/06/2022,West Midlands,Herefordshire,North Herefordshire,HR6 8LL,Other Independent Special School,2,2,2,1,2,Yes,,,All standards Met
117646,Radlett Lodge School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/12/2022,East of England,Hertfordshire,St Albans,WD7 9HW,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
117654,Gurukula - The Hare Krishna Primary School,03/12/2024,OS,Non-association independent schools,31/08/2024,19/05/2022,East of England,Hertfordshire,Hertsmere,WD25 8HB,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
117662,Longwood School,03/12/2024,OS,Non-association independent schools,31/08/2024,29/11/2023,East of England,Hertfordshire,Watford,WD23 2QG,Other Independent School,3,3,3,2,2,Yes,3,,All standards Met
118123,Froebel House School,03/12/2024,OS,Non-association independent schools,31/08/2024,29/04/2024,Yorkshire and The Humber,Kingston upon Hull,Kingston upon Hull North and Cottingham,HU5 3JP,Other Independent School,4,4,3,3,2,No,3,,Did not meet all standards
118979,Bryony School,03/12/2024,OS,Non-association independent schools,31/08/2024,16/01/2023,South East,Medway,Gillingham and Rainham,ME8 0AJ,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
118993,Helen Allison School,03/12/2024,OS,Non-association independent schools,31/08/2024,08/07/2024,South East,Kent,Gravesham,DA13 0EW,Other Independent Special School,2,2,2,1,1,Yes,,2,All standards Met
118995,Ripplevale School,03/12/2024,OS,Non-association independent schools,31/08/2024,29/04/2024,South East,Kent,Dover and Deal,CT14 8JG,Other Independent Special School,2,2,2,2,2,Yes,,2,All standards Met
119005,The Elmley Dray School,03/12/2024,OS,Non-association independent schools,31/08/2024,13/01/2020,South East,Kent,Sittingbourne and Sheppey,ME12 2DP,Other Independent Special School,2,2,2,2,2,Yes,2,,All standards Met
119009,Heath Farm School,03/12/2024,OS,Non-association independent schools,31/08/2024,06/05/2024,South East,Kent,Weald of Kent,TN27 0AX,Other Independent Special School,1,1,1,1,1,Yes,,1,All standards Met
119013,Learning Opportunities Centre Secondary,03/12/2024,OS,Non-association independent schools,31/08/2024,05/12/2022,South East,Kent,Dover and Deal,CT14 8DW,Other Independent Special School,2,2,2,1,1,Yes,,,All standards Met
119015,ISP School,03/12/2024,OS,Non-association independent schools,31/08/2024,12/10/2023,South East,Kent,Faversham and Mid Kent,ME9 9EA,Other Independent Special School,2,2,2,1,1,Yes,,,All standards Met
119021,Brewood Secondary School,03/12/2024,OS,Non-association independent schools,31/08/2024,16/01/2020,South East,Kent,Dover and Deal,CT14 9TR,Other Independent Special School,2,2,2,2,2,Yes,,2,All standards Met
119819,St Anne's College Grammar School,03/12/2024,OS,Non-association independent schools,31/08/2024,03/03/2024,North West,Lancashire,Fylde,FY8 1HN,Other Independent School,3,3,3,2,2,Yes,2,,Did not meet all standards
119845,Rossendale School,03/12/2024,OS,Non-association independent schools,31/08/2024,28/11/2021,North West,Lancashire,Rossendale and Darwen,BL0 0RT,Other Independent Special School,2,2,2,1,1,Yes,,2,All standards Met
119848,Rawdhatul Uloom Islamic Primary School,03/12/2024,OS,Non-association independent schools,31/08/2024,08/11/2023,North West,Blackburn with Darwen,Blackburn,BB1 5NZ,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
