year,school,row,cohort,send,ehcp,fsm,all_C_ARE,all_C_GD,all_GLD,all_MTC,all_M_ARE,all_M_GD,all_PHONICS,all_R_ARE,all_R_GD,all_W_ARE,all_W_GD,fsm_C_ARE,fsm_C_GD,fsm_GLD,fsm_MTC,fsm_M_ARE,fsm_M_GD,fsm_PHONICS,fsm_R_ARE,fsm_R_GD,fsm_W_ARE,fsm_W_GD,non_fsm_C_ARE,non_fsm_C_GD,non_fsm_GLD,non_fsm_MTC,non_fsm_M_ARE,non_fsm_M_GD,non_fsm_PHONICS,non_fsm_R_ARE,non_fsm_R_GD,non_fsm_W_ARE,non_fsm_W_GD
Year 1,GHPS,10,56.0,18.0,8.0,13.0,0.4,0.0,,,0.58,0.0,0.64,0.42,0.04,0.51,0.04,0.36,0.0,,,0.57,0.0,0.67,0.36,0.0,0.43,0.0,0.44,0.0,,,0.59,0.0,0.53,0.39,0.05,0.54,0.05
Year 1,HPS,11,60.0,6.0,6.0,0.14,0.47,0.0,,,0.55,0.0,,0.55,0.0,0.48,0.0,0.36,0.0,,,0.36,0.0,,0.36,0.0,0.36,0.0,0.5,0.0,,,0.61,0.0,,0.5,0.0,0.52,0.0
Year 1,LPS,12,12.0,3.0,0.0,7.0,0.5,0.0,,,0.58,0.0,0.75,0.66,0.0,0.5,0.0,0.29,0.0,,,0.43,0.0,0.57,0.57,0.0,0.29,0.0,0.6,0.0,,,0.8,0.0,1.0,0.8,,0.6,0.0
Year 1,LGPS,13,64.0,13.0,7.0,30.0,0.567,0.0,,,0.617,0.0,0.58,0.63,0.0,0.583,0.0,0.54,0.0,,,0.57,0.0,0.54,0.57,0.0,0.57,0.0,0.59,0.0,,,0.66,0.0,0.46,0.69,0.0,0.59,0.0
Year 2,CVPS,7,27.0,6.0,3.0,5.0,0.63,0.0,,,0.67,0.07,0.74,0.67,0.07,0.63,0.0,0.6,0.0,,,0.6,0.0,0.6,0.6,0.0,0.6,0.0,0.64,0.0,,,0.68,0.05,0.77,0.68,0.1,0.64,0.0
Year 2,CHPS,8,81.0,23.0,6.0,21.0,0.44,0.0,,,0.57,0.07,,0.54,0.16,0.46,0.0,0.21,0.0,,,0.35,0.04,,0.44,0.04,0.21,0.0,0.53,0.0,,,0.66,0.09,,0.59,0.21,0.55,0.0
Year 2,FPS,9,56.0,9.0,4.0,14.0,0.43,0.02,,,0.57,0.18,0.95,0.57,0.13,0.5,0.02,0.2,0.0,,,0.3,0.0,,0.7,0.1,0.4,0.0,0.48,0.02,,,0.63,0.23,,0.6,0.13,0.52,0.02
Year 2,GHPS,10,58.0,8.0,5.0,21.0,0.58,0.05,,,0.73,0.09,0.81,0.6,0.13,0.64,0.05,0.5,0.02,,,0.7,0.15,0.79,0.5,0.13,0.5,0.1,0.62,0.0,,,0.74,0.11,0.81,0.66,0.14,0.69,0.03
Year 2,HPS,11,61.0,3.0,5.0,15.0,0.56,0.0,,,0.66,0.08,,0.67,0.0,0.61,0.0,0.47,0.0,,,0.6,0.0,,0.73,0.0,0.53,0.0,0.59,0.0,,,0.67,0.11,,0.65,0.0,0.63,0.0
Year 2,LPS,12,13.0,3.0,0.0,5.0,0.54,0.0,,,0.62,0.0,0.77,0.62,0.0,0.54,0.0,0.66,0.0,,,0.66,0.0,1.0,0.66,0.0,0.66,0.0,0.58,0.0,,,0.58,0.0,0.25,0.58,0.0,0.58,0.0
Year 2,LGPS,13,61.0,12.0,4.0,22.0,0.52,0.0,,,0.57,0.02,0.91,0.625,0.0,0.56,0.0,0.476,0.0,,,0.476,0.0,0.88,0.619,0.0,0.524,0.0,0.543,0.0,,,0.629,0.0,0.92,0.629,0.0,0.571,0.0
Year 3,CVPS,6,30.0,7.0,1.0,6.0,0.6,0.03,,,0.7,0.1,,0.63,0.07,0.63,0.07,0.33,0.0,,,0.5,0.0,,0.33,0.0,0.33,0.0,0.67,0.04,,,0.75,0.13,,0.71,0.08,0.71,0.08
Year 3,CHPS,7,88.0,19.0,9.0,36.0,0.55,0.0,,,0.66,0.22,,0.65,0.21,0.6,0.0,0.42,0.0,,,0.58,0.11,,0.55,0.05,0.5,0.0,0.67,0.0,,,0.73,0.31,,0.73,0.33,0.69,0.0
Year 3,FPS,8,57.0,7.0,3.0,17.0,0.56,0.0,,,0.68,0.11,,0.6,0.11,0.6,0.0,0.56,0.0,,,0.64,0.18,,0.56,0.09,0.56,0.0,0.57,0.0,,,0.7,0.09,,0.61,0.11,0.61,0.0
Year 3,GHPS,9,47.0,11.0,8.0,17.0,0.4,0.0,,,0.71,0.16,,0.51,0.04,0.53,0.09,0.35,0.0,,,0.61,0.11,,0.39,0.0,0.43,0.0,0.44,0.0,,,0.71,0.19,,0.55,0.06,0.54,0.05
Year 3,HPS,10,61.0,10.0,5.0,21.0,0.54,0.0,,,0.67,0.12,,0.64,0.0,0.62,0.0,0.38,0.0,,,0.52,0.1,,0.52,0.0,0.48,0.0,0.63,0.0,,,0.75,0.13,,0.7,0.0,0.7,0.0
Year 3,LPS,11,13.0,1.0,0.0,4.0,0.77,0.0,,,0.77,0.08,,0.77,0.08,0.77,0.0,0.6,0.0,,,0.8,0.0,,0.6,0.0,0.8,0.0,0.88,0.0,,,0.88,0.09,,0.88,0.13,0.88,0.0
Year 3,LGPS,12,61.0,11.0,3.0,25.0,0.393,0.0,,,0.536,0.036,,0.518,0.054,0.411,0.0,0.227,0.0,,,0.559,0.0,,0.409,0.0,0.273,0.0,0.5,0.0,,,0.559,0.059,,0.588,0.088,0.5,0.0
Year 4,CVPS,6,26.0,3.0,2.0,6.0,0.46,0.04,,0.54,0.65,0.11,,0.65,0.27,0.62,0.08,0.0,0.0,,0.17,0.33,0.0,,0.0,0.0,0.0,0.0,0.6,0.05,,0.65,0.75,0.15,,0.85,0.35,0.8,0.1
Year 4,CHPS,7,81.0,20.0,11.0,34.0,0.38,0.0,,,0.56,0.19,,0.54,0.18,0.41,0.0,0.31,0.0,,,0.44,0.16,,0.5,0.19,0.34,0.0,0.42,,,,0.65,0.21,,0.56,0.17,0.46,0.0
Year 4,FPS,8,61.0,13.0,6.0,24.0,0.51,0.03,,0.61,0.59,0.12,,0.59,0.12,0.59,0.03,0.42,0.0,,,0.58,0.16,,0.58,0.16,0.63,0.0,0.55,0.05,,,0.6,0.1,,0.6,0.1,0.57,0.05
Year 4,GHPS,9,53.0,14.0,3.0,16.0,0.53,0.04,,0.65,0.68,0.13,,0.72,0.06,0.62,0.13,0.12,0.5,,0.06,0.06,0.75,,0.72,0.69,0.06,0.56,0.51,0.03,,,0.65,0.14,,0.73,0.05,0.65,0.16
Year 4,HPS,10,64.0,13.0,6.0,23.0,0.31,0.03,,0.5,0.41,0.14,,0.55,0.19,0.53,0.09,0.22,0.0,,0.29,0.26,0.13,,0.52,0.13,0.44,0.0,0.37,0.05,,0.64,0.49,0.15,,0.56,0.22,0.59,0.15
Year 4,LPS,11,13.0,5.0,2.0,11.0,0.54,0.0,,0.4,0.54,0.08,,0.62,0.0,0.54,0.0,0.4,0.0,,,0.45,0.12,,0.5,0.0,0.4,0.0,1.0,0.0,,,1.0,0.66,,1.0,0.0,1.0,0.0
Year 4,LGPS,12,82.0,16.0,8.0,37.0,0.38,0.0,,0.5,0.48,0.07,,0.51,0.05,0.39,0.0,0.3,0.0,,,0.41,0.0,,0.38,0.0,0.32,0.0,0.53,0.0,,,0.68,0.08,,0.63,0.05,0.53,0.0
Year 5,CVPS,6,30.0,6.0,2.0,10.0,0.63,0.0,,,0.67,0.17,,0.7,0.03,0.67,0.0,0.5,0.0,,,0.5,0.1,,0.6,0.0,0.5,0.0,0.7,0.0,,,0.75,0.2,,0.75,0.05,0.75,0.0
Year 5,CHPS,7,90.0,25.0,13.0,37.0,0.54,0.0,,,0.62,0.18,,0.64,0.12,0.58,0.0,0.46,0.0,,,0.57,0.22,,0.57,0.11,0.49,0.0,0.6,0.0,,,0.66,0.15,,0.7,0.13,0.64,0.0
Year 5,FPS,8,56.0,10.0,2.0,22.0,0.52,0.02,,,0.63,0.11,,0.66,0.07,0.6,0.04,0.59,0.06,,,0.65,0.24,,0.71,0.06,0.65,0.12,0.49,0.0,,,0.62,0.05,,0.64,0.08,0.56,0.0
Year 5,GHPS,9,59.0,12.0,4.0,24.0,0.59,0.03,,,0.63,0.17,,0.69,0.12,0.68,0.12,0.46,0.0,,,0.5,0.08,,0.67,0.04,0.5,0.04,0.71,0.06,,,0.71,0.23,,0.74,0.14,0.8,0.17
Year 5,HPS,10,66.0,15.0,8.0,22.0,0.38,0.03,,,0.55,0.12,,0.59,0.14,0.56,0.15,0.41,0.0,,,0.55,0.09,,0.59,0.13,0.55,0.18,0.36,0.05,,,0.55,0.14,,0.59,0.13,0.57,0.14
Year 5,LPS,11,10.0,3.0,1.0,6.0,0.4,0.0,,,0.5,0.1,,0.5,0.1,0.4,0.0,0.5,0.0,,,0.66,0.0,,0.66,0.0,0.5,0.0,0.25,0.0,,,0.25,0.25,,0.25,0.25,0.25,0.0
Year 5,LGPS,12,76.0,19.0,6.0,36.0,0.25,0.0,,,0.4,0.07,,0.45,0.04,0.33,0.0,0.12,0.0,,,0.3,0.06,,0.39,0.03,0.18,0.0,0.39,0.0,,,0.53,0.05,,0.55,0.05,0.5,0.0
Year 6,CVPS,8,25.0,9.0,3.0,9.0,0.6,0.12,,,0.6,0.2,,0.68,0.28,0.64,0.12,0.33,0.0,,,0.33,0.0,,0.44,0.11,0.44,0.0,0.75,0.19,,,0.75,0.31,,0.81,0.38,0.75,0.19
Year 6,CHPS,9,87.0,28.0,13.0,41.0,0.51,0.0,,,0.61,0.09,,0.64,0.31,0.67,0.0,0.46,0.0,,,0.56,0.05,,0.59,0.27,0.58,0.0,0.54,0.0,,,0.65,0.13,,0.7,0.35,0.76,0.0
Year 6,FPS,10,61.0,11.0,2.0,19.0,0.64,0.0,,,0.72,0.03,,0.69,0.12,0.67,0.0,0.69,0.0,,,0.69,0.0,,0.75,0.13,0.69,0.0,0.62,0.0,,,0.73,0.04,,0.68,0.11,0.68,0.0
Year 6,GHPS,11,53.0,16.0,7.0,18.0,0.48,0.02,,,0.58,0.08,,0.65,0.19,0.6,0.08,0.59,0.0,,,0.71,0.06,,0.82,0.24,0.71,0.06,0.43,0.03,,,0.51,0.09,,0.57,0.17,0.54,0.09
Year 6,HPS,12,65.0,19.0,9.0,25.0,0.71,0.1,,,0.85,0.34,,0.85,0.48,0.75,0.11,0.56,0.08,,,0.76,0.32,,0.76,0.28,0.56,0.08,0.83,0.13,,,0.83,0.38,,0.9,0.6,0.85,0.13
Year 6,LPS,13,12.0,0.0,0.0,4.0,0.5,0.0,,,0.75,0.25,,1.0,0.25,0.59,0.08,0.25,0.0,,,0.25,0.25,,0.75,0.25,0.25,0.0,0.42,0.0,,,1.0,0.5,,1.0,0.25,0.5,0.0
Year 6,LGPS,14,83.0,21.0,10.0,38.0,0.56,0.03,,,0.65,0.18,,0.71,0.25,0.65,0.04,0.41,0.03,,,0.53,0.15,,0.59,0.18,0.56,0.06,0.67,0.02,,,0.75,0.21,,0.81,0.3,0.72,0.02
